"subj","period","start.age","stop.age","death","strength.3","strength.6","rank","af.groupmates","cons.p3","cons.p6","a.st.co3","a.st.co6"
"gaun","p2",7184,7549,0,5.72711704538262,4.08522898813011,0.3125,17,0.333333333333333,0.666666666666667,"1","1"
"gaun","p3",7550,7914,0,4.98976393336,3.69070072142444,0.375,17,0.333333333333333,0.5,"1","1"
"gaun","p4",7923,8279,0,5.57825359294158,4.03748245315933,0.3125,17,0.333333333333333,0.666666666666667,"1","1"
"gaun","p5",8280,8644,0,5.04443511517066,3.83640746209548,0.5,17,0.333333333333333,0.833333333333333,"1","2"
"gaun","p6",8645,8849,1,6.33104872488487,4.53373992900392,0.444444444444444,19,0,0.333333333333333,"1","1"
"geor","p7",4098,4462,0,6.69865898497165,5.28785371248208,0.727272727272727,12,0.666666666666667,0.666666666666667,"2","3"
"geor","p8",4463,4827,0,5.07665968077205,4.07672640187787,0.75,13,0.666666666666667,1,"2","2"
"gigi","p2",4978,5343,0,9.99854918521286,7.71095281295259,0.466666666666667,16,1,0.833333333333333,"4","4"
"gigi","p3",5344,5708,0,11.2809785932086,8.97280328747478,1,9,0.333333333333333,0.5,"3","3"
"gigi","p4",5717,6073,0,15.6054531100516,15.6054531100516,0.333333333333333,5,0.666666666666667,1,"4","4"
"gigi","p5",6074,6438,0,7.18795873094614,7.18795873094614,0,8,1,1,"4","4"
"gigi","p6",6439,6804,0,8.53165081998293,8.53165081998293,0,9,1,1,"4","4"
"gigi","p7",6805,7169,0,7.98991494785381,7.98991494785381,0,12,0.5,0.5,"3","3"
"gigi","p8",7170,7534,0,4.6243688125689,4.6243688125689,0,13,1,1,"2","2"
"gumm","p8",2771,3135,0,6.70043226190843,5.49880249166621,0.476190476190476,22,0,0.166666666666667,"1","3"
"hano","p8",2422,2786,0,6.53550362081359,4.2992739656022,0.25,13,0.666666666666667,0.666666666666667,"2","1"
"hoba","p6",3336,3701,0,9.34111715267908,6.38098520682321,0.125,9,0.333333333333333,0.5,"3","3"
"hoba","p7",3702,4066,0,7.63955864297541,5.06475839927083,0.272727272727273,12,0.333333333333333,0.666666666666667,"3","1"
"hoba","p8",4067,4431,0,8.13451268871156,5.87113616866994,0.333333333333333,13,0.666666666666667,0.666666666666667,"4","3"
"hong","p6",3336,3701,0,10.7019246391667,7.15785595861243,0,9,0.666666666666667,0.666666666666667,"4","3"
"hong","p7",3702,4066,0,10.3530560258419,6.69199511708796,0.181818181818182,12,0.666666666666667,0.666666666666667,"4","3"
"hong","p8",4067,4431,0,8.00517884379544,5.88696550653063,0.166666666666667,13,1,0.666666666666667,"4","3"
"jig","p2",4978,5343,0,5.69489504707581,3.40414894783964,0.933333333333333,16,0.666666666666667,0.666666666666667,"2","1"
"jig","p3",5344,5708,0,6.6913036397291,3.57645566122044,0.9375,9,0.666666666666667,0.666666666666667,"2","1"
"jig","p4",5717,6073,0,7.64410330570434,4.4749619964419,1,10,0.666666666666667,0.666666666666667,"4","1"
